Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ECR VS. ADP,PS,Baseline
Mecole Hardman,WR,KC/12,-1.45,1.02,52.0,6,15|05,145.5,-1.8,0.0,
Nelson Agholor,WR,NE/14,-1.49,1.23,53.0,6,15|09,149.2,-4.1,0.0,
Cole Beasley,WR,BUF/7,-1.54,0.85,54.0,6,15|09,149.8,0.5,0.0,
Jaylen Waddle,WR,MIA/14,-1.65,1.39,55.0,6,13|07,127.7,2.7,0.0,
Michael Pittman,WR,IND/14,-1.75,1.14,56.0,7,12|08,118.3,0.6,0.0,
TreQuan Smith,WR,NO/6,-1.78,1.26,57.0,7,20|07,197.5,-4.5,0.0,
Breshad Perriman,WR,DET/9,-1.89,0.99,58.0,7,19|03,183.1,-5.3,0.0,
Darnell Mooney,WR,CHI/10,-1.95,0.82,59.0,7,15|06,146.3,-1.1,0.0,
Gabriel Davis,WR,BUF/7,-2.03,1.25,60.0,7,17|08,168.0,-0.2,0.0,
Jalen Reagor,WR,PHI/14,-2.06,0.79,61.0,7,15|09,149.6,-4.9,0.0,
Russell Gage,WR,ATL/6,-2.14,1.11,62.0,7,19|03,183.4,-2.6,0.0,
Tyrell Williams,WR,DET/9,-2.22,1.35,63.0,7,24|05,235.9,0.7,0.0,
Emmanuel Sanders,WR,BUF/7,-2.36,1.23,64.0,7,20|07,197.5,0.1,0.0,
Allen Lazard,WR,GB/13,-2.41,1.14,65.0,7,20|05,195.4,-2.3,0.0,
Jamison Crowder,WR,NYJ/6,-2.55,1.31,66.0,7,17|10,170.8,-0.8,0.0,
Rondale Moore,WR,ARI/12,-2.57,0.88,67.0,7,21|06,206.6,1.8,0.0,
Sterling Shepard,WR,NYG/10,-2.59,1.5,68.0,7,18|07,177.9,-2.3,0.0,
Christian Kirk,WR,ARI/12,-2.59,1.17,69.0,7,18|05,175.2,-1.4,0.0,
Elijah Moore,WR,NYJ/6,-2.73,1.71,70.0,7,19|02,182.5,3.4,0.0,
John Brown,WR,LV/8,-2.97,1.46,71.0,7,16|07,157.4,-2.3,0.0,
Darius Slayton,WR,NYG/10,-3.07,0.82,72.0,8,19|10,190.7,-3.1,0.0,
Randall Cobb,WR,HOU/10,-3.14,1.02,73.0,8,25|06,246.3,-5.6,0.0,
Rashod Bateman,WR,BAL/8,-3.18,1.81,74.0,8,17|07,167.5,-0.8,0.0,
AJ Green,WR,ARI/12,-3.2,1.33,75.0,8,22|07,217.6,-0.8,0.0,
Parris Campbell,WR,IND/14,-3.27,1.18,76.0,8,19|06,186.1,-4.2,0.0,
Marquez Valdes-Scantling,WR,GB/13,-3.29,1.41,77.0,8,22|02,212.3,-5.9,0.0,
Terrace Marshall,WR,CAR/13,-3.33,1.26,78.0,8,24|03,233.0,5.7,0.0,
Jakobi Meyers,WR,NE/14,-3.47,1.23,79.0,8,21|09,209.4,-4.8,0.0,
Hunter Renfrow,WR,LV/8,-3.74,1.1,80.0,8,26|02,252.4,-6.9,0.0,
Amon-Ra St,WR,DET/9,-3.8,0.91,81.0,8,23|09,229.4,5.0,0.0,
Denzel Mims,WR,NYJ/6,-3.89,1.0,82.0,8,20|04,194.8,-2.1,0.0,
Sammy Watkins,WR,BAL/8,-3.91,1.21,84.0,8,23|04,224.6,-0.8,0.0,
DeSean Jackson,WR,LAR/11,-3.93,1.85,85.0,8,24|10,240.4,-0.1,0.0,
Van Jefferson,WR,LAR/11,-4.05,1.35,86.0,8,26|01,251.4,-0.1,0.0,
Rashard Higgins,WR,CLE/13,-4.17,1.45,87.0,8,27|02,262.4,-3.1,0.0,
Kendrick Bourne,WR,NE/14,-4.18,1.13,88.0,8,29|02,282.1,-4.4,0.0,
Anthony Miller,WR,HOU/10,-4.21,1.5,89.0,8,25|04,244.8,0.0,0.0,
Zach Pascal,WR,IND/14,-4.23,1.39,90.0,8,28|03,273.1,3.3,0.0,
Keelan Cole,WR,NYJ/6,-4.32,1.32,91.0,8,30|07,297.3,-2.6,0.0,
